0 		 start2 		 start2 		 start2
160 		 इसके 		 r6 		 nmod
161 		 चार 		 nmod__adj 		 pof__cn
162 		 पहिए 		 k1 		 pof__cn
163 		 स्वतंत्र 		 nmod__adj 		 pof__cn
164 		 स्टीयरिंग 		 k7 		 nmod
165 		 में 		 lwg__psp 		 pof__cn
166 		 सक्षम 		 pof 		 compound
167 		 होंगे 		 main 		 case
168 		 परंतु 		 main 		 case
169 		 अभियान 		 k2 		 case
170 		 को 		 lwg__psp 		 case
171 		 जनवरी 		 pof__cn 		 case
172 		 2013 		 k7t 		 nmod
173 		 में 		 lwg__psp 		 pof__cn
174 		 स्थगित 		 pof 		 compound
175 		 कर 		 ccof 		 conj
176 		 दिया 		 lwg__vaux 		 case
177 		 गया 		 lwg__vaux_cont 		 case
178 		 यह 		 nmod__adj 		 case
179 		 सौर 		 pof__cn 		 case
180 		 मंडल 		 r6 		 nmod
181 		 का 		 lwg__psp 		 pof__cn
182 		 पाचवाँ,सबसे 		 jjmod__intf 		 pof__cn
183 		 विशाल 		 nmod__adj 		 pof__cn
184 		 प्राकृतिक 		 mod 		 nsubj
185 		 उपग्रह 		 k1 		 nsubj
186 		 है 		 main 		 case
187 		 अन्तरिक्ष 		 k7p 		 nmod
188 		 में 		 lwg__psp 		 pof__cn
189 		 मानव 		 k1 		 pof__cn
190 		 सिर्फ 		 lwg__rp 		 pof__cn
191 		 चन्द्रमा 		 k7 		 nmod
192 		 पर 		 lwg__psp 		 pof__cn
193 		 ही 		 lwg__rp 		 pof__cn
194 		 कदम 		 pof 		 compound
195 		 रख 		 main 		 case
196 		 सका 		 lwg__vaux 		 case
197 		 है 		 lwg__vaux_cont 		 case
198 		 क्योंकि 		 main 		 case
199 		 रूस 		 k1 		 nsubj
200 		 लैंडर 		 k2 		 case
201 		 को 		 lwg__psp 		 case
202 		 समय 		 k7 		 nmod
203 		 पर 		 lwg__psp 		 pof__cn
204 		 विकसित 		 pof 		 compound
205 		 करने 		 k7 		 nmod
206 		 में 		 lwg__psp 		 pof__cn
207 		 असमर्थ 		 pof 		 compound
208 		 था 		 ccof 		 conj
209 		 लैंडर 		 k1 		 case
210 		 किसी 		 k7 		 nmod
211 		 भी 		 lwg__rp 		 pof__cn
212 		 वैज्ञानिक 		 nmod__adj 		 pof__cn
213 		 गतिविधियों 		 k1 		 pof__cn
214 		 प्रदर्शन 		 pof 		 compound
215 		 नहीं 		 lwg__neg 		 case
216 		 करेंगे 		 main 		 case
217 		 सूर्य 		 k7t 		 nmod
218 		 के 		 lwg__psp 		 pof__cn
219 		 बाद 		 lwg__psp 		 pof__cn
220 		 आसमान 		 k7p 		 nmod
221 		 में 		 lwg__psp 		 pof__cn
222 		 सबसे 		 jjmod__intf 		 pof__cn
223 		 अधिक 		 nmod__adj 		 pof__cn
224 		 चमकदार 		 nmod__adj 		 pof__cn
225 		 निकाय 		 k1 		 pof__cn
226 		 चन्द्रमा 		 k1s 		 pof__cn
227 		 है 		 main 		 pof__cn
228 		 जब 		 k7t 		 nmod
229 		 रूस 		 k1 		 nsubj
230 		 ने 		 lwg__psp 		 case
231 		 2015 		 k7t 		 nmod
232 		 से 		 lwg__psp 		 pof__cn
233 		 पहले 		 lwg__psp 		 pof__cn
234 		 लैंडर 		 r6 		 pof__cn
235 		 के 		 lwg__psp 		 pof__cn
236 		 विकास 		 k7 		 nmod
237 		 में 		 lwg__psp 		 pof__cn
238 		 अपनी 		 r6 		 pof__cn
239 		 असमर्थता 		 k2 		 pof__cn
240 		 जताई 		 main 		 pof__cn
241 		 हालांकि, 		 k1 		 pof__cn
242 		 रूस 		 k1 		 pof__cn
243 		 ने 		 lwg__psp 		 pof__cn
244 		 मई 		 pof__cn 		 pof__cn
245 		 2010 		 k7t 		 nmod
246 		 को 		 lwg__psp 		 pof__cn
247 		 रोवर 		 k2 		 pof__cn
248 		 को 		 lwg__psp 		 pof__cn
249 		 डिजाइन 		 pof 		 compound
250 		 करने 		 rt 		 advcl
251 		 से 		 lwg__psp 		 case
252 		 मना 		 pof 		 compound
253 		 कर 		 main 		 case
254 		 दिया 		 lwg__vaux 		 case
255 		 चंद्रमा 		 r6 		 nmod
256 		 का 		 lwg__psp 		 pof__cn
257 		 करीब 		 lwg__rp 		 pof__cn
258 		 1-100 		 nmod__adj 		 pof__cn
259 		 नैनोटेस्ला 		 r6 		 pof__cn
260 		 का 		 lwg__psp 		 pof__cn
261 		 एक 		 nmod__adj 		 pof__cn
262 		 बाह्य 		 nmod__adj 		 pof__cn
263 		 चुम्बकीय 		 pof__cn 		 pof__cn
264 		 क्षेत्र 		 k1 		 pof__cn
265 		 है 		 main 		 pof__cn
266 		 आंकड़ों 		 k2 		 pof__cn
267 		 को 		 lwg__psp 		 pof__cn
268 		 चंद्रयान-2 		 nmod__adj 		 pof__cn
269 		 कक्षयान 		 k3 		 nmod
270 		 के 		 lwg__psp 		 pof__cn
271 		 माध्यम 		 lwg__psp 		 pof__cn
272 		 से 		 lwg__psp 		 pof__cn
273 		 पृथ्वी 		 k7p 		 nmod
274 		 पर 		 lwg__psp 		 pof__cn
275 		 भेजा 		 main 		 pof__cn
276 		 जायेगा 		 lwg__vaux 		 pof__cn
277 		 पहिएदार 		 pof__cn 		 pof__cn
278 		 रोवर 		 pof__cn 		 pof__cn
279 		 चंद्र 		 pof__cn 		 pof__cn
280 		 सतह 		 k7 		 nmod
281 		 पर 		 lwg__psp 		 pof__cn
282 		 चलेगा 		 ccof 		 conj
283 		 और 		 main 		 case
284 		 जगह 		 r6-k2 		 nmod
285 		 का 		 lwg__psp 		 pof__cn
286 		 रासायनिक 		 nmod__adj 		 pof__cn
287 		 विश्लेषण 		 pof 		 compound
288 		 करेगा 		 ccof 		 conj
289 		 कुल 		 nmod__adj 		 case
290 		 10 		 nmod__adj 		 case
291 		 बिजली 		 r6 		 nmod
292 		 की 		 lwg__psp 		 pof__cn
293 		 मोटरों 		 nmod 		 pof__cn
294 		 कर्षण 		 ccof 		 conj
295 		 और 		 fragof 		 dislocated
296 		 स्टीयरिंग 		 ccof 		 conj
297 		 के 		 lwg__psp 		 case
298 		 लिए 		 lwg__psp 		 case
299 		 इस्तेमाल 		 k1 		 nsubj
300 		 कि 		 rs 		 acl
301 		 जाएगी 		 mod 		 nsubj
302 		 इसके 		 sent-adv 		 advcl
303 		 बाद, 		 lwg__psp 		 case
304 		 इसरो 		 k1 		 nsubj
305 		 ने 		 lwg__psp 		 case
306 		 रोवर 		 r6 		 nmod
307 		 के 		 lwg__psp 		 pof__cn
308 		 डिजाइन 		 ccof 		 conj
309 		 और 		 pof 		 compound
310 		 निर्माण 		 ccof 		 conj
311 		 खुद 		 nmod__emph 		 case
312 		 करने 		 r6-k2 		 nmod
313 		 का 		 lwg__psp 		 pof__cn
314 		 फैसला 		 pof 		 compound
315 		 किया 		 main 		 case
316 		 तथा 		 main 		 case
317 		 भारत 		 k1 		 nsubj
318 		 ने 		 lwg__psp 		 case
319 		 चंद्र 		 pof__cn 		 case
320 		 मिशन 		 k2 		 case
321 		 को 		 lwg__psp 		 case
322 		 स्वतंत्र 		 nmod__adj 		 case
323 		 रूप 		 adv 		 advmod
324 		 से 		 lwg__psp 		 case
325 		 विकसित 		 pof 		 compound
326 		 करने 		 r6-k2 		 nmod
327 		 का 		 lwg__psp 		 pof__cn
328 		 फैसला 		 pof 		 compound
329 		 किया 		 ccof 		 conj
330 		 समुद्री 		 nmod__adj 		 case
331 		 ज्वार 		 ccof 		 conj
332 		 और 		 main 		 case
333 		 भाटा 		 k1 		 nsubj
334 		 चन्द्रमा 		 r6 		 nmod
335 		 की 		 lwg__psp 		 pof__cn
336 		 गुरुत्वाकर्षण 		 pof__cn 		 pof__cn
337 		 शक्ति 		 rh 		 advcl
338 		 के 		 lwg__psp 		 case
339 		 कारण 		 lwg__psp 		 case
340 		 आते 		 ccof 		 conj
341 		 हैं 		 lwg__vaux 		 case
342 		 अभियान 		 k2 		 case
343 		 को 		 lwg__psp 		 case
344 		 जीएसएलवी 		 nmod__adj 		 case
345 		 संस्करण 		 k2 		 case
346 		 3 		 nmod__adj 		 case
347 		 प्रक्षेपण 		 pof__cn 		 case
348 		 यान 		 k1 		 nsubj
349 		 द्वारा 		 lwg__psp 		 case
350 		 प्रक्षेपित 		 pof 		 compound
351 		 किया 		 main 		 case
352 		 गया 		 lwg__vaux 		 case
353 		 दिसंबर 		 pof__cn 		 case
354 		 2015 		 k7t 		 nmod
355 		 को, 		 vmod 		 pof__cn
356 		 इस 		 nmod__adj 		 pof__cn
357 		 अभियान 		 rt 		 advcl
358 		 के 		 lwg__psp 		 case
359 		 लिये 		 lwg__psp 		 case
360 		 603 		 mod 		 nsubj
361 		 करोड़ 		 nmod__adj 		 case
362 		 रुपये 		 r6 		 nmod
363 		 की 		 lwg__psp 		 pof__cn
364 		 लागत 		 k2 		 pof__cn
365 		 आवंटित 		 pof 		 compound
366 		 की 		 main 		 case
367 		 गई 		 lwg__vaux 		 case
368 		 हालांकि 		 main 		 case
369 		 इसरो 		 k1 		 nsubj
370 		 ने 		 lwg__psp 		 case
371 		 चंद्रयान 		 pof__cn 		 case
372 		 -2 		 rsym 		 punct
373 		 कार्यक्रम 		 k7a 		 nmod
374 		 के 		 lwg__psp 		 pof__cn
375 		 अनुसार 		 lwg__psp 		 pof__cn
376 		 पेलोड 		 k4 		 iobj
377 		 को 		 lwg__psp 		 case
378 		 अंतिम 		 nmod__adj 		 case
379 		 रूप 		 pof 		 compound
380 		 दिया 		 ccof 		 conj
381 		 और 		 ccof 		 conj
382 		 यह 		 k1 		 case
383 		 खुद 		 adv 		 advmod
384 		 से 		 lwg__psp 		 case
385 		 नहीं 		 lwg__neg 		 case
386 		 चमकता 		 ccof 		 conj
387 		 बल्कि 		 main 		 case
388 		 यह 		 k1 		 nsubj
389 		 तो 		 lwg__rp 		 case
390 		 सूर्य 		 r6 		 nmod
391 		 के 		 lwg__psp 		 pof__cn
392 		 प्रकाश 		 k5 		 nmod
393 		 से 		 lwg__psp 		 pof__cn
394 		 प्रकाशित 		 pof 		 compound
395 		 होता 		 ccof 		 conj
396 		 है 		 lwg__vaux 		 case
397 		 चंद्रमा 		 r6 		 nmod
398 		 की 		 lwg__psp 		 pof__cn
399 		 सतह 		 k7p 		 nmod
400 		 पर 		 lwg__psp 		 pof__cn
401 		 लैंडिंग 		 rt 		 advcl
402 		 के 		 lwg__psp 		 case
403 		 लिए 		 lwg__psp 		 case
404 		 अनुसंधान 		 pof__cn 		 case
405 		 दल 		 k1 		 nsubj
406 		 ने 		 lwg__psp 		 case
407 		 लैंडिंग 		 pof__cn 		 case
408 		 विधि 		 r6 		 nmod
409 		 की 		 lwg__psp 		 pof__cn
410 		 पहचान 		 r6 		 pof__cn
411 		 की 		 lwg__psp 		 pof__cn
412 		 धरती 		 k7t 		 nmod
413 		 के 		 lwg__psp 		 pof__cn
414 		 बाद 		 lwg__psp 		 pof__cn
415 		 चांद 		 k7 		 nmod
416 		 पर 		 lwg__psp 		 pof__cn
417 		 भौगोलिक 		 nmod__adj 		 pof__cn
418 		 आधिपत्य 		 r6 		 pof__cn
419 		 की 		 lwg__psp 		 pof__cn
420 		 होड़ 		 k7 		 nmod
421 		 में 		 lwg__psp 		 pof__cn
422 		 भारत 		 nmod__adj 		 pof__cn
423 		 अग्रणी 		 k1 		 pof__cn
424 		 बनकर 		 main 		 pof__cn
425 		 उभरेगा. 		 pof__cn 		 pof__cn
426 		 संचार, 		 pof__cn 		 pof__cn
427 		 सेंसर 		 pof__cn 		 pof__cn
428 		 प्रोद्योगिकी 		 r6 		 pof__cn
429 		 के 		 lwg__psp 		 pof__cn
430 		 क्षेत्र 		 k7p 		 nmod
431 		 में 		 lwg__psp 		 pof__cn
432 		 ISRO 		 r6 		 pof__cn
433 		 की 		 lwg__psp 		 pof__cn
434 		 क्षमता 		 r6 		 pof__cn
435 		 का 		 lwg__psp 		 pof__cn
436 		 प्रदर्शन 		 pof 		 compound
437 		 होगा 		 main 		 case
438 		 चांद 		 k7 		 nmod
439 		 पर 		 lwg__psp 		 pof__cn
440 		 मिशन 		 k2 		 pof__cn
441 		 भेजने 		 nmod 		 pof__cn
442 		 वाले 		 lwg__psp 		 pof__cn
443 		 तीन 		 nmod__adj 		 pof__cn
444 		 ताकतवर 		 nmod__adj 		 pof__cn
445 		 देशों 		 r6 		 pof__cn
446 		 के 		 lwg__psp 		 pof__cn
447 		 क्लब 		 r6 		 pof__cn
448 		 का 		 lwg__psp 		 pof__cn
449 		 चौथा 		 nmod__adj 		 pof__cn
450 		 सदस्य 		 k1s 		 pof__cn
451 		 बन 		 main 		 pof__cn
452 		 जाएगा. 		 lwg__vaux 		 pof__cn
453 		 इनमें 		 k5 		 nmod
454 		 से 		 lwg__psp 		 pof__cn
455 		 कुछ 		 r6 		 pof__cn
456 		 के 		 lwg__psp 		 pof__cn
457 		 नाम 		 k1 		 pof__cn
458 		 विद्वानों, 		 nmod__adj 		 pof__cn
459 		 वैज्ञानिकों, 		 pof__cn 		 pof__cn
460 		 कलाकारों 		 ccof 		 conj
461 		 और 		 k1s 		 case
462 		 खोजकर्ताओँ 		 ccof 		 conj
463 		 पर 		 lwg__psp 		 case
464 		 हैं 		 main 		 case
465 		 बृहस्पति 		 r6 		 nmod
466 		 के 		 lwg__psp 		 pof__cn
467 		 उपग्रह 		 k7t 		 nmod
468 		 lo 		 rsym 		 punct
469 		 के 		 lwg__psp 		 case
470 		 बाद 		 lwg__psp 		 case
471 		 चन्द्रमा 		 k1 		 nsubj
472 		 दूसरा 		 nmod__adj 		 case
473 		 सबसे 		 jjmod__intf 		 case
474 		 अधिक 		 nmod__adj 		 case
475 		 घनत्व 		 nmod 		 amod
476 		 वाला 		 lwg__psp 		 case
477 		 उपग्रह 		 k1s 		 case
478 		 है 		 main 		 case
479 		 प्रारंभिक 		 nmod__adj 		 case
480 		 योजना 		 k7 		 nmod
481 		 में 		 lwg__psp 		 pof__cn
482 		 रोवर 		 k2 		 pof__cn
483 		 को 		 lwg__psp 		 pof__cn
484 		 रूस 		 k7p 		 nmod
485 		 में 		 lwg__psp 		 pof__cn
486 		 डिजाइन 		 ccof 		 conj
487 		 और 		 k2 		 case
488 		 भारत 		 ccof 		 conj
489 		 में 		 lwg__psp 		 case
490 		 निर्मित 		 pof 		 compound
491 		 किया 		 main 		 case
492 		 जाना 		 lwg__vaux 		 case
493 		 था 		 lwg__vaux_cont 		 case
494 		 तो 		 main 		 case
495 		 भारतीय 		 nmod__adj 		 case
496 		 अधिकारियों 		 k1 		 nsubj
497 		 ने 		 lwg__psp 		 case
498 		 स्वतंत्र 		 nmod__adj 		 case
499 		 रूप 		 adv 		 advmod
500 		 से 		 lwg__psp 		 case
501 		 लैंडर 		 k2 		 case
502 		 को 		 lwg__psp 		 case
503 		 विकसित 		 pof 		 compound
504 		 करने 		 r6-k2 		 nmod
505 		 का 		 lwg__psp 		 pof__cn
506 		 निर्णय 		 pof 		 compound
507 		 लिया 		 ccof 		 conj
508 		 ऑर्बिटर 		 ccof 		 conj
509 		 और 		 nmod 		 case
510 		 उसके 		 r6 		 nmod
511 		 जीएसएलवी 		 ccof 		 conj
512 		 प्रक्षेपण 		 pof__cn 		 case
513 		 यान 		 k7 		 nmod
514 		 के 		 lwg__psp 		 pof__cn
515 		 बीच 		 lwg__psp 		 pof__cn
516 		 इंटरफेस 		 k4 		 iobj
517 		 को 		 lwg__psp 		 case
518 		 अंतिम 		 nmod__adj 		 case
519 		 रूप 		 pof 		 compound
520 		 दे 		 main 		 case
521 		 दिया 		 lwg__vaux 		 case
522 		 है 		 lwg__vaux_cont 		 case
523 		 पृथ्वी- 		 pof__cn 		 case
524 		 चन्द्रमा-सूर्य 		 pof__cn 		 case
525 		 ज्यामिति 		 rh 		 advcl
526 		 के 		 lwg__psp 		 case
527 		 कारण 		 lwg__psp 		 case
528 		 "चन्द्र 		 rsym 		 punct
529 		 दशा" 		 k1 		 nsubj
530 		 हर 		 nmod__adj 		 case
531 		 २९.५ 		 nmod__adj 		 case
532 		 दिनों 		 k7t 		 nmod
533 		 में 		 lwg__psp 		 pof__cn
534 		 बदलती 		 main 		 pof__cn
535 		 है 		 lwg__vaux 		 pof__cn
536 		 इस 		 nmod__adj 		 pof__cn
537 		 अभियान 		 k7 		 nmod
538 		 में 		 lwg__psp 		 pof__cn
539 		 भारत 		 jjmod 		 advmod
540 		 में 		 lwg__psp 		 case
541 		 निर्मित 		 nmod 		 amod
542 		 एक 		 nmod__adj 		 case
543 		 चंद्र 		 pof__cn 		 case
544 		 कक्षयान, 		 k1 		 nsubj
545 		 एक 		 nmod__adj 		 case
546 		 रोवर 		 ccof 		 conj
547 		 एवं 		 k1 		 case
548 		 एक 		 nmod__adj 		 case
549 		 लैंडर 		 ccof 		 conj
550 		 शामिल 		 k1s 		 case
551 		 हैं 		 main 		 case
552 		 प्रारंभ 		 k7t 		 nmod
553 		 में, 		 pof__cn 		 pof__cn
554 		 लैंडर 		 pof__cn 		 pof__cn
555 		 रूस 		 k1 		 pof__cn
556 		 द्वारा 		 lwg__psp 		 pof__cn
557 		 भारत 		 ras-k1 		 nmod
558 		 के 		 lwg__psp 		 pof__cn
559 		 साथ 		 lwg__psp 		 pof__cn
560 		 सहयोग 		 k3 		 nmod
561 		 से 		 lwg__psp 		 pof__cn
562 		 विकसित 		 pof 		 compound
563 		 किए 		 r6 		 nmod
564 		 जाने 		 lwg__vaux 		 pof__cn
565 		 की 		 lwg__psp 		 pof__cn
566 		 उम्मीद 		 k1 		 pof__cn
567 		 थी 		 main 		 pof__cn
568 		 ISRO 		 r6 		 pof__cn
569 		 की 		 lwg__psp 		 pof__cn
570 		 शक्तिशाली 		 nmod__adj 		 pof__cn
571 		 रॉकेट 		 ccof 		 conj
572 		 व 		 k2 		 case
573 		 भारी-भरकम 		 nmod__adj 		 case
574 		 पेलोड 		 ccof 		 conj
575 		 छोड़ने 		 r6 		 nmod
576 		 की 		 lwg__psp 		 pof__cn
577 		 क्षमता 		 r6 		 pof__cn
578 		 का 		 lwg__psp 		 pof__cn
579 		 दुनिया 		 k2 		 pof__cn
580 		 को 		 lwg__psp 		 pof__cn
581 		 पता 		 pof 		 compound
582 		 चला. 		 main 		 case
583 		 चंद्रमा 		 r6 		 nmod
584 		 के 		 lwg__psp 		 pof__cn
585 		 ऑक्सीजन 		 pof__cn 		 pof__cn
586 		 समस्थानिक 		 nmod__adj 		 pof__cn
587 		 अनुपात 		 k1 		 pof__cn
588 		 पृथ्वी 		 rt 		 advcl
589 		 के 		 lwg__psp 		 case
590 		 लिए 		 lwg__psp 		 case
591 		 अनिवार्य 		 nmod__adj 		 case
592 		 रूप 		 adv 		 advmod
593 		 से 		 lwg__psp 		 case
594 		 समान 		 pof 		 compound
595 		 दिखते 		 main 		 case
596 		 हैं 		 lwg__vaux 		 case
597 		 लैंडर 		 k2 		 case
598 		 को 		 lwg__psp 		 case
599 		 चंद्र 		 nmod__adj 		 case
600 		 सतह 		 k7 		 nmod
601 		 पर 		 lwg__psp 		 pof__cn
602 		 एक 		 nmod__adj 		 pof__cn
603 		 नरम 		 nmod__adj 		 pof__cn
604 		 लैंडिंग 		 k2 		 pof__cn
605 		 को 		 lwg__psp 		 pof__cn
606 		 निष्पादित 		 pof 		 compound
607 		 करने 		 rt 		 advcl
608 		 के 		 lwg__psp 		 case
609 		 लिए 		 lwg__psp 		 case
610 		 डिज़ाइन 		 pof 		 compound
611 		 किया 		 main 		 case
612 		 गया 		 lwg__vaux 		 case
613 		 है 		 lwg__vaux_cont 		 case
614 		 पहला 		 nmod__adj 		 case
615 		 भारतीय 		 nmod__adj 		 case
616 		 मिशन, 		 k1 		 nsubj
617 		 जो 		 k1 		 nsubj
618 		 घरेलू 		 nmod__adj 		 case
619 		 तकनीक 		 ras-k1 		 nmod
620 		 के 		 lwg__psp 		 pof__cn
621 		 साथ 		 lwg__psp 		 pof__cn
622 		 चंद्र 		 nmod__adj 		 pof__cn
623 		 क्षेत्र 		 r6-k2 		 nmod
624 		 का 		 lwg__psp 		 pof__cn
625 		 पता 		 pof 		 compound
626 		 लगाने 		 r6-k2 		 nmod
627 		 का 		 lwg__psp 		 pof__cn
628 		 प्रयास 		 pof 		 compound
629 		 करेगा 		 main 		 case
630 		 चंद्रमा 		 k1 		 nsubj
631 		 एक 		 nmod__adj 		 case
632 		 विभेदित 		 nmod__adj 		 case
633 		 निकाय 		 k1s 		 case
634 		 है 		 rs 		 acl
635 		 जिसका 		 k1 		 case
636 		 भूरसायानिक 		 nmod__adj 		 case
637 		 रूप 		 adv 		 advmod
638 		 से 		 lwg__psp 		 case
639 		 तीन 		 nmod__adj 		 case
640 		 भाग 		 nmod 		 amod
641 		 क्रष्ट, 		 fragof 		 dislocated
642 		 मेंटल 		 ccof 		 conj
643 		 और 		 k1 		 case
644 		 कोर 		 ccof 		 conj
